127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/config.js?v=5.2.2 HTTP/1.1" 200 24059 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/doclinks.js?v=5.2.2 HTTP/1.1" 200 18276 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/functions.js?v=5.2.2 HTTP/1.1" 200 149833 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/navigation.js?v=5.2.2 HTTP/1.1" 200 51823 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/indexes.js?v=5.2.2 HTTP/1.1" 200 27180 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/common.js?v=5.2.2 HTTP/1.1" 200 4530 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/dist/page_settings.js?v=5.2.2 HTTP/1.1" 200 1818 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/vendor/codemirror/lib/codemirror.js?v=5.2.2 HTTP/1.1" 200 401653 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/vendor/codemirror/mode/sql/sql.js?v=5.2.2 HTTP/1.1" 200 59564 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
127.0.0.1 - - [10/Apr/2025:20:05:56 -0400] "GET /phpMyAdmin/js/vendor/codemirror/addon/runmode/runmode.js?v=5.2.2 HTTP/1.1" 200 2777 "http://localhost/phpMyAdmin/" "Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
